track_name,lyrics
Two Kinds of Happiness,"Happiness is two different things What you take and then what you bring One is pleasure, one's discipline One's devotion, one's just the ring Desire and reward Long term and short term joy Don't waste your heart Don't waste your heart One has nothing to do with the other And the world is all cousins not brothers Hard to take you off of my love One's an instant, one takes some will One gives life, and one makes you kill One's the means and one's for the end Desire and reward Long term and short term joy Don't waste your heart Don't waste your heart One has nothing to do with the other And the world is all cousins not brothers Don't you give in You're beginning"
You're So Right,"Tell me what happened, tell me what happened Tell me what happened if you like Get off on the same floor, get off on the same floor Get off on the same floor every night What are the reasons? What are the reasons? What are the reasons to find more? I wanna tell you, I wanna tell you I wanna tell you nothing more In my mind, gave a hand Never once, gave a damn I'm done with the office, I'm done with the office I'm done with the office, hello, forest I still want to ask you, I still want to ask you I still want to ask you something more In my mind, gave a hand Never once, gave a damn I don't want to fight, don't want to beg, you any- I don't want to fight, don't want to beg, you any- I don't want to fight, don't want to beg, you anymore I don't wanna argue, I don't wanna argue I don't wanna argue, you think you won I wouldn't hurt you, I wouldn't hurt you Well, maybe I'd hurt you, If I could"
Taken for a Fool,"Sister, it feels like just yesterday Sister, don't you forget my number On this door You've got something and it's so good to see Something wonderful that I could not be Everybody hanging on for their lives But you can't help them cause you don't have the time I know everyone goes any damn place they like I hope this goes over well on the toxic radio, yeah You get taken all the time for a fool I don't know why You're so gullible but I don't mind Oh, that's not the problem And I don't need anyone with me right now Monday, Tuesday is my weekend You get taken for a fool all the time I don't know why Blame yourself for once, quit putting it on me I can't help you cause I've seen what it means It's so early, I don't want to wake up Oh, we're so lucky cause we never grow up Mama, it feels like just yesterday Mama, don't you forget my number I don't want to be the one at the door I know, everyone goes any damn place they choose And I hope everyone well on the toxic radio A tourist in the ghetto, not afraid of anything Except death and anything else that could maybe hurt them, oh yeah You get taken all the time for a fool I don't know why You're so gullible but I don't mind Oh, that's not the problem And I don't need anyone with me right now Monday, Tuesday is my weekend You get taken all the time for a fool I don't know why You get taken all the time for a fool I don't know why I don't know why"
Games,"With all the noise above He tried to call his name The trial would go on The day has just begun Living in an empty world Living in an empty world Living in an empty world Living in an empty world The diamond cuts her eye The crowd behind went wild They weren't all that proud By now, they hear it loud Living in an empty world Living in an empty world Living in an empty world Living in an empty world I'm okay I'm alright I was out late last night Empty love Empty love I will wait one more night"
Call Me Back,"Wait time is the worst I can hardly sit No one has the time Someone's always late I look for you And you look for me I don't know why I came down I hold your phone Don't wake up I hear a voice In the ground Tell me, don't tell me The hard part is telling you Something that you would not like me to tell you Tell me, don't tell me The hard part is telling you Something that you would not like me to tell you Wait time is to blame Mapped out fame's a trip We all have the time Someone's always fed I look for you And you look away I don't know why I came down I hold your phone Don't wake up I hear a voice In the ground (Waking up is so much fun to do) Tell me, don't tell me The hard part is telling you Something that you would not like me to tell you (An 80's movie make-out party with you) Tell me, don't tell me The hard part is telling you Something that you would not like me to tell you"
Gratisfaction,"Oh b-baby, don't you be so mad because I barely remember And she tries to recognize me with the eyes She saw me with in December And she's starting to realize that it's actually not a good thing And it's so tough because you're down to go out again and have another adventure All her friends in the alleyway shout back but she can't hear them But you're never gonna get my love We can only play in the sun Get up in the morning and run You'll be frustrated 'til the day that you're done He got punched in the mouth for sticking His nose in other people's business No good solution, always on the verge of some revolution Well tough luck, it may take a thousand years But I think we can do it Best friends fight but they never enjoy life As good as when they abuse it He said ""The soldier is a necessity in light of all the failures of man"" But you're never gonna get their love We can only fight in the sand You get tired when the days are too long You get lonely when the days are gone He could never mention it out here and now Without quick tears in his eyes But you're never gonna get my love We can only play in the sun You get tired when the days are too long You get lonely when the days are gone Oh you're never gonna get this love We can roll around in the dark That's about as far as we go Get up in the morning and run"
Metabolism,"I wanna be outrageous But inside, I know I'm plain So plain Just plain Boring and plain Silently obsessed with death Just like anyone, I guess Tryin' for the perfect life End up bein' in denial I wanna be somebody Wanna be somebody like you Like you Like you Like you Instead of me Silently obsessed with death Just like anyone, I guess Tryin' for the perfect life End up being in denial"
Life Is Simple in the Moonlight,"Animals on TV singing about some pain that they once felt There's no one I disapprove of more or root for more than myself I wanted to pretend that it was better, better, better on the phone I didn't wanna tell you I was jealous, jealous, jealous and alone So we talk about ourselves in hell To forget the love we never felt All the old jokes that work so well Universal truth was a moment's lie Don't try to stop us Don't try to stop us Don't try to stop us Get out of the way Got to get to climb your tree in the light of the living ghost I see She sees her father in that old man's eyes while secretly he stares at her thighs Animals on TV singing about some pain they felt at some point I didn't wanna tell you I was jealous, jealous, jealous, what's the point? As I watch the velvet drapes appear And the door was closed for forty years As we hide what we don't wanna hear As we hide what's really in our ears He is coming from a part of hell Where lightning blue eyes don't go down well He can tell that we're oblivious It's addiction of routine as well Making fools out of the best of us Making robots of the rest of us Innocence itself in America today Is a crime just like Cornel West might say Don't try to stop us Don't try to stop us Don't try to stop us Get out of the way"
You Only Live Once,"Some people think they're always right Others are quiet and uptight Others, they seem so very nice-nice-nice-nice, oh Inside they might feel sad and wrong, oh no Twenty-nine different attributes Only seven that you like, oh Twenty ways to see the world, oh And twenty ways to start a fight, oh Oh, don't, don't, don't get up! I can't see the sunshine I'll be waiting for you, baby 'Cause I'm through Sit me down! Shut me up I'll calm down And I'll get along with you Oh, men don't notice what they got Oh, women think of that a lot One thousand ways to please your man, oh Not even one requires a plan, I know And countless odd religions too It doesn't matter which you choose, oh no One stubborn way to turn your back, oh This I've tried and now refuse, oh Oh, don't, don't, don't get up! I can't see the sunshine Oh, I'll be waiting for you, baby 'Cause I'm through Sit me down! Shut me up I'll calm down And I'll get along with you, alright Shut me up Shut me up And I'll get along with you"
Juicebox,"Everybody sees me, but it's not that easy Standing in the light field, standing in the light field Waiting for some action, waiting for some action over Why won't you come over here? Why won't you come over here? We got a city to love Why won't you come over here? We got a city to love Old time grudges Will die so slowly I know you miss the Way I saw you You're cold, you're so cold You're so cold, you're so cold Nobody can see me, everything's too easy Standing in the light field, standing in the light field Waiting for some actress, waiting for some actress to say ""Why won't you come over here?"" Why won't you come over here? We got a city to love Why won't you come over here? We got a city to love Old time love song Will die so swiftly You never trust me For a while, it was nice, but it's time to say bye I'm cold, you're so cold You're so cold, you're so cold No-no-no, cold, you're so cold You're so cold, you're so cold Oh no-no-no-no, cold, you're so cold You're so cold, you're so cold No, no, you're so cold"
Heart In a Cage,"Well, I don't feel better when I'm fucking around And I don't write better when I'm stuck in the ground So don't teach me a lesson 'cause I've already learned Yeah, the sun will be shining and my children will burn Oh, the heart beats in its cage I don't want what you want, I don't feel what you feel See, I'm stuck in a city but I belong in a field Yeah, we got left, left, left, left, left, left, left Now it's three in the morning and you're eating alone Oh, the heart beats in its cage All our friends, they're laughing at us All of those you loved, you mistrust Help me, I'm just not quite myself Look around, there's no one else left I went to the concert and I fought through the crowd Guess I got too excited when I thought you were around Oh, he gets left, left, left, left, left, left, left And I'm sorry you were thinking I would steal your fire Oh, the heart beats in its cage Yes, the heart beats in its cage And the heart beats in its cage"
Razorblade,"Oh, the razorblade, that's what I call love I bet you'd pick it up and mess around with it if I put it down It gets extremely complicated Anything to forget everything You've got to take me out at least once a week Whether I'm in your arms or I'm at your feet I know exactly what you're thinking You won't say it now, but in your heart it's loud ""Oh no, my feelings are more important than yours Oh, drop dead, I don't care, I won't worry,"" there you go Oh, the razorblade, wish it would snap this rope The world is in your hand or it's at your throat At times it's not that complicated Anything to forget everything He would never talk but he was not shy She was a street-smart girl but she could not lie They were perfect for each other Say it now, 'cause in your heart it's loud ""Oh no, my feelings are more important than yours Oh, drop dead, I don't care, I won't worry,"" hey (I loved you Before I saw you) Sweetheart, your feelings are more important, of course Of course Everyone that wanted everything that we would take from them I don't wanna know, I don't wanna know Tell me, tell me, tell me, tell me, no, don't, okay"
On the Other Side,"I'm tired of everyone I know Of everyone I see On the street and on TV, yeah On the other side, on the other side Nobody's waiting for me on the other side I hate them all, I hate them all I hate myself for hating them So I'll drink some more, I love them all I'll drink even more, I'll hate them even more than I did before On the other side, on the other side Nobody's waiting for me on the other side I remember when you came You taught me how to sing Now, it seems so far away You taught me how to sing I'm tired of being So judgmental of everyone I will not go to sleep, I will train my eyes to see That my mind is as blind as a branch on a tree On the other side, on the other side I know what's waiting for me on the other side On the other side, on the other side I know you're waiting for me on the other side"
Vision of Division,"Sing me a song, you could be Tell me a tale, just like me Don't turn it my way, happy and free I'll turn it to shit, happy and free, oh All that I do is wait for you All that I do is wait for you I can't get along with all your friends Don't know how to act, that's all there is Why do I accept the things you say? You know what to change but not in what way How long must I wait? How long must I wait? How long must I wait? How long must I wait? How long must I wait? I am not you, we could have I'm almost through, great success It's about time, such a success That you came through, at no expense, oh Oh, all that I do is wait for you All that I do is wait for you I can't get away from all your friends I'm not coming back, that's all there is Why do I accept the things you say? You know what to change but not in what way How long must I wait? How long must I wait? How long must I wait? How long must I wait? How long must I wait?"
Ask Me Anything,"Right, wrong, what to do—someday, it will come to you Hostile Indians, we named a summer camp for you I've got nothing to say, I've got nothing to say I've got nothing to say, I've got nothing to say I've got nothing to say, I've got nothing to say I've got nothing to say, I'm in utter dismay, I've got nothing to say Harmless children, we named our soldiers after you Don't be a coconut, God is trying to talk to you We could drag it out, but that's for other bands to do I've got nothing to say, I've got nothing to say I've got nothing to say, I've got nothing to say I've got nothing to give, got no reason to live But I will fight to survive, I've got nothing to hide, wish I wasn't so shy I'd like to watch, I'd like to read I'd like a part, I'd like the lead But I've got nothing to say, I've got nothing to say I've got nothing to say, I've got nothing to say I've got nothing to give, got no reason to live Oh, I'll kill to survive, I've got nothing to hide, wish I wasn't so shy"
Electricityscape,"Oh, with strangers to impress so near Old friends don't realize I'm here I wish two drinks were always in me I'd pretend I had the perfect ear Take me to the water Make me understand that I was wrong For me, tomorrow is my first day So please, don't tempt me in the wrong way It's almost after midnight I can see the city lights, we're here Change your mind tonight You belong to the city now And you're closer now, I know You belong on the radio Well, I swear I'll give it back tomorrow But for now I think that I'll just borrow All the chords from that song And all the words from that other song I heard yesterday Change your mind, tonight You belong to the city now And you're closer now, I know You belong on the radio I will not disturb you I was just returning you the compliment"
